Student ID,Score
1155173918,7.00
1155174993,7.00
1155176537,7.00
1155176966,7.00
1155191382,7.00
1155191410,0.00
1155191456,7.00
1155191526,7.00
1155192798,7.00
1155192980,7.00
1155193741,7.00
1155193995,7.00
1155194058,7.00
1155194479,7.00
1155194868,7.00
1155194870,4.00
1155199603,7.00
1155211015,7.00
1155211040,3.00
1155211055,7.00
1155211098,7.00
1155211199,7.00
1155211243,0.00
1155211546,7.00
1155211804,0.00
1155211871,7.00
1155212081,0.00
1155212502,7.00
1155212608,7.00
1155213117,0.00
1155213269,5.00
1155213485,0.00
1155213654,4.00
1155213655,7.00
1155213824,7.00
1155214212,7.00
1155214263,5.00
1155214314,7.00
1155214378,0.00
1155214428,7.00
1155214586,7.00
1155214619,0.00
1155214626,4.00
